be040bd0-3dd9-4f49-a9bc-5b42c1ebbed8,DS,1659774654770
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
-0.9463,4.1220,7.6796,-0.1341,-0.3193,-0.0112,-51.3885,16.5665,-17.7170,-0.0000,-0.0000,-0.0000,0.0000,-1.2612,0.4346,0.1619,1.0000
0.9499,3.1475,8.6888,-0.3855,0.0855,0.2679,-44.3527,24.5407,-18.8171,-0.0000,-0.0000,-0.0000,0.0000,-1.0695,0.3401,0.0531,1.0000
-0.9690,2.7497,9.2965,0.0406,0.0472,-0.0613,-41.5070,25.7355,-23.3780,-0.0000,-0.0000,-0.0000,0.0000,-1.0035,0.3197,0.0982,1.0000
-1.2715,2.1547,8.1158,0.1493,-0.1840,0.1464,-41.4352,25.7019,-25.3235,-0.0000,-0.0000,-0.0000,0.0000,-1.0260,0.2938,0.1348,1.0000
1.2640,2.9851,9.2203,0.2696,-0.2980,0.1347,-41.7770,24.1852,-23.3078,-0.0000,-0.0000,-0.0000,0.0000,-1.0401,0.2560,0.1416,1.0000
-1.1019,2.7066,8.7498,-0.0531,-0.0338,0.0218,-44.2123,23.3948,-22.5510,-0.0000,-0.0000,-0.0000,0.0000,-1.0211,0.3122,0.0828,1.0000
-0.5448,2.9911,9.1728,-0.0159,0.0504,0.0868,-42.7109,22.5449,-23.1537,-0.0000,-0.0000,-0.0000,0.0000,-1.0179,0.2970,0.1087,1.0000
-0.9471,2.7545,8.1305,-0.0372,-0.0146,0.0410,-42.1997,23.3261,-23.7625,-0.0000,-0.0000,-0.0000,0.0000,-1.0070,0.3249,0.1027,1.0000
-1.0412,2.9384,8.4474,0.1077,-0.0615,-0.0272,-40.6723,24.8337,-24.4446,-0.0000,-0.0000,-0.0000,0.0000,-0.9940,0.3143,0.1005,1.0000
-0.7372,3.9504,7.3552,-0.4303,0.0078,-0.1124,-41.7099,23.1277,-23.1430,-0.0000,-0.0000,-0.0000,0.0000,-1.0163,0.3685,0.1058,1.0000
