605e4806-5c1e-40f3-8a65-f9732fee2aa6,DS,1659776641970
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
0.2907,5.8386,6.4897,0.4122,-0.1909,0.0170,-18.1610,-7.2601,27.1164,-0.0000,-0.0000,-0.0000,0.0000,-2.3847,0.8731,-0.0000,1.0000
-3.4562,5.7440,2.4511,0.5272,0.3896,-1.4563,29.7958,0.1678,52.9388,-0.0000,-0.0000,-0.0000,0.0000,2.7426,1.0804,-0.0491,1.0000
-2.4123,8.3274,-0.0449,-0.0043,0.0317,-0.0310,30.6107,12.7579,51.2039,-0.0000,-0.0000,-0.0000,0.0000,1.7392,1.4350,0.9267,1.0000
-2.5779,8.1694,-0.4415,0.0159,-0.0418,-0.0608,29.5151,15.7883,50.9735,-0.0000,-0.0000,-0.0000,0.0000,1.1945,1.3854,1.4081,1.0000
-2.6880,8.0042,-0.5549,0.0372,-0.0173,-0.0033,31.9107,17.2836,48.2330,-0.0000,-0.0000,-0.0000,0.0000,0.8552,1.2574,1.6985,1.0000
-3.0583,7.7763,-1.1574,-0.0065,-0.0077,-0.0225,30.2948,20.8389,49.1943,-0.0000,-0.0000,-0.0000,0.0000,0.7086,1.1940,1.8361,1.0000
-3.2926,8.0042,-1.3405,0.0830,0.0722,0.0191,29.9316,23.4985,47.6746,-0.0000,-0.0000,-0.0000,0.0000,0.5983,1.1722,1.9504,1.0000
-4.2463,5.9428,-3.7683,0.3621,0.0136,-0.0257,28.4531,31.1874,46.2753,-0.0000,-0.0000,-0.0000,0.0000,0.2946,1.1207,2.2768,1.0000
-3.8077,7.7807,-2.8026,0.4836,0.1989,0.0905,24.3439,38.5269,43.1885,-0.0000,-0.0000,-0.0000,0.0000,0.2294,1.0018,2.3388,1.0000
-2.4011,5.7732,-7.8528,-0.3825,-0.1845,-0.0906,20.2118,52.4246,31.0608,-0.0000,-0.0000,-0.0000,0.0000,-0.0167,0.7167,2.6424,1.0000
-1.0269,9.0927,-1.1989,-0.0991,0.0445,0.3397,21.8826,21.1884,52.4094,-0.0000,-0.0000,-0.0000,0.0000,0.4411,1.2594,2.3391,1.0000
-6.9513,4.2441,-3.8305,-0.1748,-0.6724,-0.1428,5.1758,27.5803,43.1488,-0.0000,-0.0000,-0.0000,0.0000,0.7040,0.4933,1.9898,1.0000
-6.8791,6.7739,-0.8785,-0.3633,-0.3806,0.0255,32.2037,19.5404,44.4931,-0.0000,-0.0000,-0.0000,0.0000,0.7807,0.8274,1.6513,1.0000
-2.8429,7.5062,-1.3816,-1.0408,0.7742,-0.6393,33.5922,13.0508,49.1638,-0.0000,-0.0000,-0.0000,0.0000,0.7803,1.1390,1.7071,1.0000
-5.2099,7.3493,-0.9351,-0.0374,0.0019,-0.0448,36.6791,26.6006,42.2394,-0.0000,-0.0000,-0.0000,0.0000,0.5296,0.9033,1.7815,1.0000
