be040bd0-3dd9-4f49-a9bc-5b42c1ebbed8,DS,1659772582711
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
-1.3625,3.9940,3.6505,0.6890,0.4716,-0.0941,-29.4449,-3.5873,9.7153,-0.0000,-0.0000,-0.0000,0.0000,-2.3123,0.6495,0.1032,1.0000
0.2984,3.0191,9.1521,-0.0850,-0.0866,-0.0869,-19.5251,-18.9575,6.8222,-0.0000,-0.0000,-0.0000,0.0000,-2.4863,0.3368,-0.0684,1.0000
-0.3318,2.2164,9.3558,-0.1628,-0.0180,-0.0135,-21.8094,-18.2510,0.6561,-0.0000,-0.0000,-0.0000,0.0000,-2.3979,0.2555,-0.0125,1.0000
-0.5105,3.3208,8.5489,0.0104,0.1039,0.1537,-21.7407,-18.1030,2.7603,-0.0000,-0.0000,-0.0000,0.0000,-2.3744,0.3530,0.0520,1.0000
-2.4229,4.6582,8.4812,0.0151,0.4234,0.0480,-27.8152,-13.3713,0.6805,-0.0000,-0.0000,-0.0000,0.0000,-2.3389,0.4596,0.3666,1.0000
-6.3738,5.6156,2.6774,-0.0186,-0.2962,0.4381,-25.4166,-13.8824,16.0904,-0.0000,-0.0000,-0.0000,0.0000,-3.0161,0.7267,0.6876,1.0000
-2.7869,6.7534,4.7196,-0.4178,0.1526,0.2721,-27.9541,-4.9362,16.2521,-0.0000,-0.0000,-0.0000,0.0000,-2.7601,0.7960,0.5670,1.0000
-1.5685,4.6714,7.7343,2.0287,-3.5150,-3.1352,30.3970,1.2299,16.3132,-0.0000,-0.0000,-0.0000,0.0000,1.9961,0.8811,0.4225,1.0000
-2.2039,8.0176,4.0210,-0.2629,-0.0261,0.0793,43.9621,2.1729,-10.3516,-0.0000,-0.0000,-0.0000,0.0000,1.1217,1.1702,0.4191,1.0000
-4.8305,6.6603,-0.1896,1.1247,0.3787,-1.2343,54.3091,19.0765,-5.6992,-0.0000,-0.0000,-0.0000,0.0000,-0.2731,0.9267,1.8283,1.0000
-4.5335,6.6256,-1.7437,1.2615,0.1405,-0.4222,57.0450,46.5408,-7.2968,-0.0000,-0.0000,-0.0000,0.0000,-0.5353,0.8803,2.0924,1.0000
-7.3825,2.6700,-5.6535,-0.5211,0.1980,0.7110,34.6481,62.3886,-25.4074,-0.0000,-0.0000,-0.0000,0.0000,-0.3960,0.5604,2.2681,1.0000
-1.4616,-1.6987,-9.5508,0.9336,3.0962,-1.8124,52.6978,55.8792,-12.0026,-0.0000,-0.0000,-0.0000,0.0000,-0.1553,0.4781,2.4689,1.0000
-4.0690,5.4586,-7.3110,0.5955,-0.7831,-0.0817,58.1924,36.1069,20.0577,-0.0000,-0.0000,-0.0000,0.0000,-0.4341,0.8524,2.4204,1.0000
-5.1909,3.1738,-6.7157,0.7510,0.0983,-0.4908,47.0734,54.7928,1.4862,-0.0000,-0.0000,-0.0000,0.0000,-0.3907,0.5555,2.3681,1.0000
-5.9722,4.0103,-6.1885,0.1295,0.1049,-0.2045,42.7658,59.5642,-4.0054,-0.0000,-0.0000,-0.0000,0.0000,-0.3713,0.4749,2.3694,1.0000
-3.7887,5.5108,5.0997,-3.9281,2.3825,1.8713,-36.9568,-19.2917,26.2299,-0.0000,-0.0000,-0.0000,0.0000,-2.7389,0.7736,0.2165,1.0000
-0.1740,4.0210,8.0224,0.5115,-0.5438,-0.8219,-33.3908,-8.3755,10.9375,-0.0000,-0.0000,-0.0000,0.0000,-2.2512,0.7324,-0.1133,1.0000
0.8933,4.8982,7.0954,0.0997,0.2200,-0.0462,-30.7465,-11.4944,11.7599,-0.0000,-0.0000,-0.0000,0.0000,-2.2865,0.6396,-0.0706,1.0000
-2.0949,3.8562,7.5109,-0.7555,0.9895,0.8438,-37.0102,-7.9865,1.2878,-0.0000,-0.0000,-0.0000,0.0000,-2.0743,0.5600,0.1259,1.0000
0.0863,3.5855,9.1121,-0.1941,0.4377,-0.1337,-34.9335,-10.4111,3.6575,-0.0000,-0.0000,-0.0000,0.0000,-2.0390,0.4593,0.0441,1.0000
-3.0985,6.9965,3.5235,-0.1072,0.2097,0.1535,2.1591,-9.0088,83.2031,-0.0000,-0.0000,-0.0000,0.0000,2.4919,1.1525,0.7925,1.0000
-2.5494,7.8299,3.7554,-0.1675,0.0672,0.1194,-6.0257,-15.9424,75.8759,-0.0000,-0.0000,-0.0000,0.0000,2.7302,1.1683,0.5486,1.0000
-1.4000,8.2470,1.8016,0.1089,-0.0210,0.0348,-10.2859,-9.2148,73.6435,-0.0000,-0.0000,-0.0000,0.0000,2.7366,1.2665,0.6044,1.0000
-1.5949,8.1351,1.7426,0.0292,0.0798,-0.0881,-7.2739,-7.9941,74.0662,-0.0000,-0.0000,-0.0000,0.0000,2.6483,1.2451,0.6465,1.0000
-2.0697,7.8610,2.9010,0.2527,-0.1902,0.0795,9.2285,-3.2043,76.1719,-0.0000,-0.0000,-0.0000,0.0000,2.4715,1.2453,0.5807,1.0000
-1.5593,8.0302,1.7749,-0.2190,0.0645,-0.0815,15.8112,8.6197,77.5482,-0.0000,-0.0000,-0.0000,0.0000,2.2159,1.2860,0.7406,1.0000
-2.8555,8.4658,3.3408,-0.5452,-0.3653,-0.1218,36.9949,-6.6269,47.8775,-0.0000,-0.0000,-0.0000,0.0000,2.0725,1.1340,0.4680,1.0000
5.0739,4.8016,7.3874,-0.3320,0.5089,0.4801,13.9572,-73.8525,17.1021,-0.0000,-0.0000,-0.0000,0.0000,3.0456,0.7814,-0.2824,1.0000
1.7905,7.2713,4.9235,1.2084,-1.1154,-1.3153,43.8828,-60.1624,25.9445,-0.0000,-0.0000,-0.0000,0.0000,2.8398,1.1339,-0.5553,1.0000
1.5360,8.3445,4.4337,0.5433,0.0515,1.0762,-10.3699,-34.6313,66.2354,-0.0000,-0.0000,-0.0000,0.0000,-2.3563,1.1824,-0.7440,1.0000
5.7381,6.3771,3.6759,0.0471,-0.1162,0.1799,-37.0651,-15.8264,43.3548,-0.0000,-0.0000,-0.0000,0.0000,-1.7281,0.9562,-0.9348,1.0000
-0.7920,8.6837,4.4964,0.5516,0.2296,-0.1672,15.3915,-31.8253,65.0970,-0.0000,-0.0000,-0.0000,0.0000,3.0980,1.2408,0.1577,1.0000
