e70c4664-4450-4133-bbe5-052ac79d9bfc,DS,1659772470997
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
-1.8024,4.9055,6.9756,-0.0667,0.0534,0.0216,26.4450,11.6043,-6.7520,-0.0000,-0.0000,-0.0000,0.0000,0.9917,0.6052,0.2523,1.0000
-2.5305,6.4469,5.9692,-0.3330,-1.1621,-0.3457,18.1168,20.4865,-10.1944,-0.0000,-0.0000,-0.0000,0.0000,0.4228,0.6035,0.2839,1.0000
-4.4060,7.3286,2.6733,0.2720,0.2187,0.2489,13.9160,17.7444,-8.9554,-0.0000,-0.0000,-0.0000,0.0000,-1.2387,1.2509,0.8133,1.0000
-3.0006,7.9217,2.4769,0.4095,-0.1418,-0.0785,18.9560,19.8257,-1.1353,-0.0000,-0.0000,-0.0000,0.0000,-1.0106,1.3166,0.9149,1.0000
-3.8460,8.1900,0.2213,0.4299,0.1699,0.1060,24.9023,26.0834,-7.2296,-0.0000,-0.0000,-0.0000,0.0000,-1.4512,1.3236,2.0543,1.0000
-0.8765,7.9578,-1.4256,-0.9051,1.1638,0.1528,31.2210,28.8239,-1.7990,-0.0000,-0.0000,-0.0000,0.0000,-0.2982,1.4132,1.7542,1.0000
1.8050,4.0885,8.5342,-0.3490,-0.3862,-0.3048,25.0595,10.9970,-15.6418,-0.0000,-0.0000,-0.0000,0.0000,2.2638,0.6010,-0.3096,1.0000
0.4269,4.4362,8.1408,0.3696,-0.1482,-0.1729,23.2941,12.9410,-15.5106,-0.0000,-0.0000,-0.0000,0.0000,1.5600,0.6645,-0.0998,1.0000
0.6183,5.3510,7.0333,0.3270,-0.6388,-0.3504,20.5093,10.5209,-11.5372,-0.0000,-0.0000,-0.0000,0.0000,1.2247,0.7677,-0.0912,1.0000
-2.7538,3.7439,5.4884,-0.2981,-0.0340,2.8861,25.3204,6.9717,-13.5803,-0.0000,-0.0000,-0.0000,0.0000,1.7135,0.5606,-0.3418,0.0000
-2.8285,4.0993,4.5392,0.8375,-2.2205,-0.2221,0.3387,9.4040,-17.9642,-0.0000,-0.0000,-0.0000,0.0000,-2.1962,1.3000,1.6448,0.0000
-2.6289,8.4473,-0.4175,0.1455,-0.1335,0.0045,3.8437,-0.8652,-18.5928,-0.0000,-0.0000,-0.0000,0.0000,-2.4195,1.3766,1.9943,0.0000
-3.0900,8.0577,-1.4650,0.0675,-0.0619,-0.0423,3.6743,-0.2426,-17.4850,-0.0000,-0.0000,-0.0000,0.0000,-2.1944,1.2799,2.0081,0.0000
-3.3412,7.7188,-2.8262,0.3958,0.1497,-0.3704,9.4254,7.3242,-18.1305,-0.0000,-0.0000,-0.0000,0.0000,-2.1543,0.9353,2.3379,0.0000
-4.4256,4.9771,-6.0958,-0.0111,0.0131,-0.0072,11.9080,8.7265,-23.9655,-0.0000,-0.0000,-0.0000,0.0000,-1.8873,0.6211,2.4983,0.0000
-2.2716,8.2889,-2.9376,-0.8141,-0.5008,0.4564,6.2439,-3.2013,-17.4957,-0.0000,-0.0000,-0.0000,0.0000,-1.4385,1.3610,1.9168,0.0000
-0.6002,7.6581,0.7201,-0.2806,-0.0847,-0.0067,-4.7958,-2.8580,-22.5235,-0.0000,-0.0000,-0.0000,0.0000,-0.5039,1.4186,0.7875,0.0000
-3.9028,6.6778,-0.7533,0.2961,0.4652,0.2658,7.2891,4.7653,-16.2415,-0.0000,-0.0000,-0.0000,0.0000,-2.0600,1.1575,2.3063,0.0000
