a02a5c6f-6e8f-4019-aba2-1b2cd4104a30,DS,1659767613206
Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z,Magnetometer x,Magnetometer y,Magnetometer z,GPS-Longitude,GPS-Latitude,GPS-Speed,Proximity_ON/OFF,Orientation yaw,Orientation pitch,Orientation roll,Screen
0.7166,6.9067,5.3152,-0.0441,0.0768,0.0278,23.0194,30.4703,-18.8080,-0.0000,-0.0000,-0.0000,0.0000,0.7145,0.9281,-0.1785,1.0000
0.9486,5.8122,3.6760,-0.7551,0.3260,-0.2771,27.2964,28.5263,-11.2823,-0.0000,-0.0000,-0.0000,0.0000,0.6782,0.7921,-0.0271,1.0000
0.9384,6.3080,5.8921,0.0240,-0.1731,0.0090,22.7432,24.4736,-17.6865,-0.0000,-0.0000,-0.0000,0.0000,0.7617,0.8293,-0.2024,1.0000
8.2430,2.4568,-2.1274,-0.3399,0.1567,-0.2390,11.0184,0.6180,-39.4135,-0.0000,-0.0000,-0.0000,0.0000,1.8544,0.4983,-1.7119,1.0000
-2.2993,7.1314,8.4683,-0.0663,-0.4066,0.1464,25.1846,24.8001,-12.6709,-0.0000,-0.0000,-0.0000,0.0000,0.7902,0.7270,-0.2345,1.0000
0.6282,5.8658,6.5845,0.0438,-0.0264,-0.0046,23.6786,25.8163,-15.5930,-0.0000,-0.0000,-0.0000,0.0000,0.7515,0.7363,-0.2158,1.0000
1.2943,5.2930,6.7409,0.0662,-0.0099,-0.0127,25.3616,24.6628,-16.5726,-0.0000,-0.0000,-0.0000,0.0000,0.8156,0.7166,-0.2362,1.0000
0.9920,5.5847,5.5716,-0.1181,-0.0577,-0.0903,25.1984,25.6866,-17.1280,-0.0000,-0.0000,-0.0000,0.0000,0.8080,0.7301,-0.2183,1.0000
1.5251,5.7793,6.5020,0.0311,0.0561,-0.0498,24.9557,25.2838,-15.6967,-0.0000,-0.0000,-0.0000,0.0000,0.8160,0.7338,-0.2246,1.0000
-2.2642,6.8413,4.9229,0.3381,-0.0624,0.0881,31.7902,19.2566,-20.7077,-0.0000,-0.0000,-0.0000,0.0000,0.3652,1.0144,0.4525,1.0000
-1.3982,7.3460,4.7540,0.0882,0.0480,-0.0841,32.7423,18.9484,-19.6228,-0.0000,-0.0000,-0.0000,0.0000,0.5513,0.9748,0.3129,1.0000
-1.3961,7.0148,4.9380,0.1084,0.0278,-0.0630,34.4559,20.8405,-14.8911,-0.0000,-0.0000,-0.0000,0.0000,0.6247,0.9707,0.2755,1.0000
-1.5435,7.1575,4.6419,0.0251,0.0148,-0.0719,34.3369,19.3710,-21.0968,-0.0000,-0.0000,-0.0000,0.0000,0.6315,0.9585,0.2992,1.0000
-1.5480,7.1826,4.5396,0.0187,-0.0221,-0.0031,32.4387,17.2928,-20.2652,-0.0000,-0.0000,-0.0000,0.0000,0.6458,0.9711,0.2888,1.0000
-1.2601,7.3049,4.5741,-0.6590,0.2510,0.7764,32.7499,17.7673,-19.5923,-0.0000,-0.0000,-0.0000,0.0000,0.9280,0.8690,0.1230,1.0000
-0.0299,4.7541,7.6435,0.4883,-0.1160,-0.4290,38.6856,15.1169,-8.1726,-0.0000,-0.0000,-0.0000,0.0000,1.0602,0.7162,0.1159,1.0000
-1.0964,6.4377,5.6798,-0.1398,-0.0274,0.0919,37.0636,22.6868,-14.3433,-0.0000,-0.0000,-0.0000,0.0000,0.8565,0.8423,0.1493,1.0000
-1.5573,6.8673,5.2475,-0.0137,-0.0325,-0.0074,35.2066,19.1406,-19.7144,-0.0000,-0.0000,-0.0000,0.0000,0.7738,0.8703,0.1939,1.0000
-1.0786,6.5861,5.6615,-0.2146,-0.0528,0.1275,32.8156,19.4199,-19.1818,-0.0000,-0.0000,-0.0000,0.0000,0.7805,0.8329,0.1498,1.0000
-1.3636,6.6612,5.5351,0.0979,-0.0826,-0.1007,36.3297,18.2922,-20.1904,-0.0000,-0.0000,-0.0000,0.0000,0.7415,0.8268,0.1879,1.0000
-1.4634,6.8897,5.1580,-0.3580,-0.0932,0.0862,31.4774,19.9707,-23.0637,-0.0000,-0.0000,-0.0000,0.0000,0.6835,0.8185,0.1789,1.0000
0.8702,6.8077,4.7221,-0.0405,-0.0036,-0.0336,24.2828,28.8116,-13.8474,-0.0000,-0.0000,-0.0000,0.0000,0.8342,0.9178,-0.1026,1.0000
0.8393,6.6678,4.9350,-0.2455,-0.0040,0.0704,24.1531,26.5350,-16.1987,-0.0000,-0.0000,-0.0000,0.0000,0.8178,0.8575,-0.1259,1.0000
1.3884,5.8934,6.2138,0.1555,-0.0545,-0.0500,21.9574,24.8703,-20.4987,-0.0000,-0.0000,-0.0000,0.0000,0.7473,0.7500,-0.2118,1.0000
-1.7294,7.2572,6.6380,0.0098,0.2255,0.2406,31.1829,23.0103,-16.5329,-0.0000,-0.0000,-0.0000,0.0000,0.6561,0.8014,0.2168,1.0000
-1.1541,6.7722,5.8130,0.0332,-0.0466,0.0090,32.4173,19.7327,-19.7266,-0.0000,-0.0000,-0.0000,0.0000,0.6374,0.8400,0.1748,1.0000
-1.2769,6.9453,5.3192,-0.0107,0.0022,0.0384,32.1762,18.9316,-17.6819,-0.0000,-0.0000,-0.0000,0.0000,0.7115,0.8465,0.1892,1.0000
-1.0979,6.5284,5.7601,-0.0167,-0.0063,0.0487,32.3318,19.6457,-18.2983,-0.0000,-0.0000,-0.0000,0.0000,0.7529,0.8481,0.1865,1.0000
-1.0685,6.7313,5.5236,0.1715,0.0602,-0.0698,33.8638,17.0670,-18.3441,-0.0000,-0.0000,-0.0000,0.0000,0.7746,0.8897,0.1896,1.0000
-1.2245,6.8706,4.9490,0.0132,0.0906,0.0977,32.7759,12.3123,-15.7715,-0.0000,-0.0000,-0.0000,0.0000,0.9189,0.9403,0.1512,1.0000
-1.3626,7.5640,4.2306,0.0108,0.1829,0.0798,32.7057,8.5098,-11.3922,-0.0000,-0.0000,-0.0000,0.0000,1.0079,1.0565,0.2005,1.0000
-1.9709,7.8206,3.5265,0.0270,0.2042,0.0205,28.6469,4.8782,-5.2414,-0.0000,-0.0000,-0.0000,0.0000,1.1016,1.1022,0.3082,1.0000
-1.1906,7.5663,3.5206,0.0168,0.1852,-0.0313,28.6316,3.1952,0.9644,-0.0000,-0.0000,-0.0000,0.0000,1.1172,1.1248,0.4717,1.0000
-0.9722,7.7393,3.6130,-0.0625,-0.0068,0.0589,27.7542,0.8774,5.5115,-0.0000,-0.0000,-0.0000,0.0000,1.3791,1.0921,0.3578,1.0000
